"borough","nm_street","latitude","longitude"
"Bronx","Sheridan Expressway","40830997","-7388525"
"Bronx","East Tremont Avenue","4082048","-7381809"
"Bronx","East 176 Street","40843822","-73892494"
"Bronx","Valentine Avenue","4086226","-7389589"
"Bronx","Riverdale Avenue","40883198","-7390802"
"Bronx","West 164 Street","408325","-7392811"
"Bronx","Bruckner Expressway","4081438","-7389623"
"Bronx","Bronx River Parkway","4083936","-7387281"
"Bronx","East Tremont Avenue","40850098","-739067"
"Bronx","Wallace Avenue","4086609","-7386444"
"Bronx","East Tremont Avenue","408481","-7390145"
"Bronx","West 190 Street","408653123","-739033237"
"Bronx","Lafayette Avenue","40832596","-7381872"
"Bronx","West 192 Street","408659982","-738998013"
"Bronx","East 138 Street","4080853","-7392155"
"Bronx","Bruckner Boulevard","408238","-7387521"
"Bronx","East Fordham Road","40859184","-7388663"
"Bronx","Eastchester Road","4085543","-7384388"
"Bronx","West 195 Street","4087004","-738997"
"Bronx","Underhill Avenue","40813297","-7385822"
"Bronx","Lafayette Avenue","4081693","-7388617"
"Bronx","West 225 Street","40875088","-73912415"
"Bronx","Olmstead Avenue","4082071","-73851585"
"Bronx","Broadway","40881687","-7390283"
"Bronx","White Plains Road","408932","-73857475"
"Bronx","East 154 Street","40819992","-73918015"
"Bronx","Willis Avenue","408078","-7392388"
"Bronx","Bruckner Expressway","40823387","-7388034"
"Bronx","Saint Anns Avenue","40803593","-73919785"
"Bronx","Southern Boulevard","4080715","-7390821"
"Bronx","Castle Hill Avenue","40835625","-7385207"
"Bronx","East 144 Street","40812893","-7392013"
"Bronx","3 Avenue","40848145","-73895424"
"Bronx","Metropolitan Oval","40838833","-73860176"
"Bronx","East Burnside Avenue","40853813","-7390734"
"Bronx","Hutchinson River Parkway East","40865685","-73823425"
"Bronx","Barretto Street","4081651","-7388987"
"Bronx","Bronx River Parkway","40856323","-7387244"
"Bronx","Newbold Avenue","40832954","-7385444"
"Bronx","Bruckner Boulevard","4080502","-7392316"
"Bronx","East 163 Street","4082725","-7391754"
"Bronx","Anderson Avenue","408321436","-739272832"
