"nm_street"
NULL
"Boone Avenue"
"89 Avenue"
"Pitman Avenue"
"West 135 Street"
"West 14 Street"
"West 62 Street"
"Putnam Avenue"
"157 Avenue"
"Boardwalk"
"Bay 17 Street"
"Tillotson Avenue"
"117 Road"
"West 159 Street"
"Lafayette Avenue"
"East 49 Street"
"Crosby Street"
"West 158 Street"
"Granite Avenue"
"Corbin Place"
"Decker Avenue"
"Kennedy Street"
"Albany Crescent"
"East 167 Street"
"West Service Road"
"Mayflower Avenue"
"Bushwick Place"
"Martling Avenue"
"Vernon Boulevard"
"West 61 Street"
"Rose Street"
"Decatur Avenue"
"North 12 Street"
"East 12 Street"
"Slater Boulevard"
"Benton Avenue"
"Willmohr Street"
"West 161 Street"
"Brinsmade Avenue"
"Adams Street"
"26 Street"
"Woodruff Avenue"
"Draper Place"
"West 23 Street"
"198 Street"
"Aqueduct Avenue"
"Sackman Street"
"Park Row"
"113 Drive"
"85 Street"
"Beach 13 Street"
"West 36 Street"
"Louisiana Avenue"
"Newton Street"
"Bay Street"
"66 Road"
"Riverside Lane"
"Aberdeen Street"
"Davidson Avenue"
"64 Road"
"Quincy Avenue"
"Redgrave Avenue"
"North 5 Street"
"84 Street"
"West 242 Street"
"Poplar Street"
"Strauss Street"
"Ocean Parkway"
"Park Circle"
"North 7 Street"
"East 95 Street"
"80 Street"
"Sunrise Highway"
"West 140 Street"
"Commercial Street"
"Olive Street"
"Popham Avenue"
"East 55 Street"
"West 75 Street"
"Ash Avenue"
"Bay 7 Street"
"Forest Avenue"
"Jackson Mill Road"
"Chevy Chase Street"
"Nereid Avenue"
"West Farms Road"
"Horace Harding Expressway"
"34 Street"
"Willis Avenue Bridge"
"Cannon Boulevard"
"Belmont Avenue"
"1 Street"
"Paladino Avenue"
"Beverly Road"
"Close Avenue"
"123 Street"
"Douglass Street"
"Crocheron Avenue"
"Church Avenue"
"Yukon Avenue"
"West 47 Street"
"South Market Street"
"O Brien Place"
"Nashville Boulevard"
"Hendrickson Street"
"Fairmount Avenue"
"216 Street"
"Lighthouse Avenue"
"51 Road"
"Quincy Street"
"33 Street"
"Stockholm Street"
"Crandall Avenue"
"West Mount Eden Avenue"
"Saint Peters Avenue"
"East 15 Street"
"North 14 Street"
"Beach 142 Street"
"East 46 Street"
"Marcy Place"
"City Island Bridge"
"West 256 Street"
"Glover Street"
"Depot Road"
"Coop City Boulevard"
"Brighton Court"
"East 202 Street"
"Manhattan Bridge"
"Ridge Street"
"248 Street"
"Klondike Avenue"
"Lie Lower Level (Cdr)"
"Wilson Avenue"
"Hamilton Place"
"Fairfield Avenue"
"Elder Avenue"
"Asch Loop"
"Fitchett Street"
"Lombardy Street"
"Brighton 10 Terrace"
"East Mount Eden Avenue"
"North 10 Street"
"West 93 Street"
"Low Terrace"
"250 Street"
"181 Street"
"Hollis Court Boulevard"
"Baisley Boulevard"
"Ashland Place"
"West 171 Street"
"Cross Bronx Expressway"
"Otsego Street"
"East Tremont Avenue"
"Cadman Plaza West"
"Collfield Avenue"
"Bedell Street"
"62 Drive"
"Wolcott Street"
"Narrows Road South"
"Ferris Place"
"Gates Place"
"Queens Plaza North"
"West 34 Street"
"132 Road"
"160 Avenue"
"De Graw Street"
"Rutland Road"
"Brighton 1 Road"
"Moore Street"
"East 231 Street"
"Laredo Avenue"
"East 208 Street"
"Arthur Avenue"
"Avenue B"
"East 145 Street"
"Sheridan Blvd"
"20 Road"
"Smith Street"
"West 131 Street"
"49 Street"
"Forest Hill Road"
"West 115 Street"
"East 97 Street"
"Penton Street"
"161 Avenue"
"Randall Avenue"
"Avenue D"
"139 Street"
"Voorhies Avenue"
"Shepherd Avenue"
"263 Street"
"South Service Road"
"Attorney Street"
"Ocean Crest Boulevard"
"Douglas Rd"
"109 Road"
"19 Avenue"
"West 92 Street"
"Turnbull Avenue"
"Williamsbridge Road"
"185 Street"
"Luten Avenue"
"Macombs Dam Bridge"
"W Loop Road"
"Cary Avenue"
"Greenleaf Avenue"
"77 Avenue"
"East 118 Street"
