"borough","nm_street"
"Bronx","Goulden Avenue"
"Bronx","East 223 Street"
"Bronx","East 211 Street"
"Bronx","Undercliff Avenue"
"Bronx","Courtlandt Avenue"
"Bronx","Grant Circle"
"Bronx","Cardinal Spellman Place"
"Bronx","Boone Avenue"
"Bronx","Alcott Place"
"Bronx","East 138 Street"
"Bronx","Boscobel Place"
"Bronx","West 179 Street"
"Bronx","East 203 Street"
"Bronx","Homer Avenue"
"Bronx","Bush Street"
"Bronx","City Island Bridge"
"Bronx","Folin Street"
"Bronx","Anderson Avenue"
"Bronx","East Burnside Avenue"
"Bronx","Stephens Avenue"
"Bronx","Earhart Lane"
"Bronx","Wood Road"
"Bronx","Bronxwood Avenue"
"Bronx","Quincy Avenue"
"Bronx","Woodhull Avenue"
"Bronx","Monticello Avenue"
"Bronx","Fowler Avenue"
"Bronx","Mount Eden Parkway"
"Bronx","West Mount Eden Avenue"
"Bronx","Holland Avenue"
"Bronx","Givan Avenue"
"Bronx","Fieldston Road"
"Bronx","Featherbed Lane"
"Bronx","East Bay Avenue"
"Bronx","Edenwald Avenue"
"Bronx","Sheridan Boulevard"
"Bronx","White Plains Road"
"Bronx","Pennyfield Avenue"
"Bronx","Longwood Avenue"
"Bronx","Virginia Avenue"
"Bronx","Prospect Avenue"
"Bronx","West Burnside Avenue"
"Bronx","Ward Avenue"
"Bronx","Pelham Parkway North"
"Bronx","Loring Place South"
"Bronx","Pinkney Avenue"
"Bronx","Ryer Avenue"
"Bronx","Elder Avenue"
"Bronx","Lawton Avenue"
"Bronx","Locust Avenue"
"Bronx","Van Courtlandt Park South"
"Bronx","Vancorlear Place"
"Bronx","Bronx River Avenue"
"Bronx","Poplar Avenue"
"Bronx","Ogden Avenue"
"Bronx","Needham Avenue"
"Bronx","East 201 Street"
"Bronx","Havemeyer Avenue"
"Bronx","Pelham Parkway"
"Bronx","W 238"
"Bronx","East 220 Street"
"Bronx","Spencer Avenue"
"Bronx","East 226 Street"
"Bronx","River Avenue"
"Bronx","Dawson Street"
"Bronx","Odell Street"
"Bronx","Briggs Avenue"
"Bronx","Watson Avenue"
"Bronx","Fairfield Avenue"
"Bronx","Netherland Avenue"
"Bronx","Archer Street"
"Bronx","West Farms Road"
"Bronx","Macombs Road"
"Bronx","Barnes Avenue"
"Bronx","Adler Place"
"Bronx","East 173 Street"
"Bronx","Parker Street"
"Bronx","Jerome Ave"
"Bronx","Sunset Boulevard"
"Bronx","Randall Avenue"
"Bronx","Bryant Avenue"
"Bronx","Benson Street"
"Bronx","Cross Bronx Expressway"
"Bronx","Lafayette Avenue"
"Bronx","Avenue Saint John"
"Bronx","Marcy Place"
"Bronx","East 177 Street"
"Bronx","West 166 Street"
"Bronx","Dewey Avenue"
"Bronx","Crotona Park East"
"Bronx","Cranford Avenue"
"Bronx","Evelyn Place"
"Bronx","East 160 Street"
"Bronx","Beekman Avenue"
"Bronx","Tryon Avenue"
"Bronx","East Fordham Road"
"Bronx","Zerega Avenue"
"Bronx","Seminole Avenue"
"Bronx","Adams Street"
"Bronx","East Tremont Avenue"
"Bronx","Brown Place"
"Bronx","Mickle Avenue"
"Bronx","East 178 Street"
"Bronx","West 195 Street"
"Bronx","Clinton Place"
"Bronx","Bronx River Parkway Ramp"
"Bronx","Morgan Avenue"
"Bronx","Father Zeiser Place"
"Bronx","Coddington Avenue"
"Bronx","East 231 Street"
"Bronx","Radcliff Avenue"
